no,gender,age,height,weight,bmi,griffith,sensitivity,preference,environment,tsv,thermal comfort,thermal preference,season,date,time,room,ta,hr
19,1,24,190.0,65.0,18.01,0.96,2,1,0,2.0,1,-1.0,0,2021/7/26,09:00:00,5,26.8,64.8
19,1,24,190.0,65.0,18.01,0.96,2,1,0,2.0,1,-1.0,0,2021/7/26,09:30:00,5,27.7,62.7
19,1,24,190.0,65.0,18.01,0.96,2,1,0,2.0,1,-1.0,0,2021/7/26,10:00:00,5,28.0,62.6
19,1,24,190.0,65.0,18.01,0.96,2,1,0,2.0,1,-1.0,0,2021/7/26,10:30:00,5,28.0,62.6
19,1,24,190.0,65.0,18.01,0.96,2,1,0,2.0,1,-1.0,0,2021/7/26,11:00:00,5,28.0,62.6
19,1,24,190.0,65.0,18.01,0.96,2,1,0,2.0,1,0.0,0,2021/7/26,11:30:00,5,27.9,63.7
19,1,24,190.0,65.0,18.01,0.96,2,1,0,2.0,1,0.0,0,2021/7/26,12:00:00,5,27.9,64.0
19,1,24,190.0,65.0,18.01,0.96,2,1,0,2.0,1,0.0,0,2021/7/26,14:30:00,5,26.9,62.8
19,1,24,190.0,65.0,18.01,0.96,2,1,0,1.0,1,0.0,0,2021/7/26,15:00:00,5,26.3,63.5
19,1,24,190.0,65.0,18.01,0.96,2,1,0,1.0,1,0.0,0,2021/7/26,15:30:00,5,25.9,62.5
19,1,24,190.0,65.0,18.01,0.96,2,1,0,1.0,1,0.0,0,2021/7/26,16:00:00,5,24.7,60.6
19,1,24,190.0,65.0,18.01,0.96,2,1,0,1.0,1,0.0,0,2021/7/26,16:30:00,5,24.2,58.5
19,1,24,190.0,65.0,18.01,0.96,2,1,0,1.0,1,0.0,0,2021/7/26,17:00:00,5,24.4,59.3
19,1,24,190.0,65.0,18.01,0.96,2,1,0,1.0,1,0.0,0,2021/7/26,17:30:00,5,25.2,55.6
21,0,21,163.0,49.0,18.44,0.81,1,-1,1,1.0,1,1.0,0,2021/7/26,09:00:00,1,24.2,70.9
21,0,21,163.0,49.0,18.44,0.81,1,-1,1,1.0,1,1.0,0,2021/7/26,09:30:00,1,24.2,70.9
21,0,21,163.0,49.0,18.44,0.81,1,-1,1,1.0,1,1.0,0,2021/7/26,10:00:00,1,24.2,70.9
21,0,21,163.0,49.0,18.44,0.81,1,-1,1,1.0,1,1.0,0,2021/7/26,10:30:00,1,24.2,70.9
21,0,21,163.0,49.0,18.44,0.81,1,-1,1,1.0,1,1.0,0,2021/7/26,11:00:00,1,24.2,70.9
21,0,21,163.0,49.0,18.44,0.81,1,-1,1,1.0,1,1.0,0,2021/7/26,11:30:00,1,24.5,70.8
21,0,21,163.0,49.0,18.44,0.81,1,-1,1,1.0,1,1.0,0,2021/7/26,12:00:00,1,24.8,70.4
21,0,21,163.0,49.0,18.44,0.81,1,-1,1,1.0,1,1.0,0,2021/7/26,14:30:00,1,22.1,73.5
21,0,21,163.0,49.0,18.44,0.81,1,-1,1,1.0,1,1.0,0,2021/7/26,15:00:00,1,22.4,76.9
21,0,21,163.0,49.0,18.44,0.81,1,-1,1,1.0,1,0.0,0,2021/7/26,15:30:00,1,23.8,73.1
21,0,21,163.0,49.0,18.44,0.81,1,-1,1,1.0,1,0.0,0,2021/7/26,16:00:00,1,24.2,72.6
21,0,21,163.0,49.0,18.44,0.81,1,-1,1,1.0,1,0.0,0,2021/7/26,16:30:00,1,24.2,72.6
21,0,21,163.0,49.0,18.44,0.81,1,-1,1,1.0,1,1.0,0,2021/7/26,17:00:00,1,25.0,70.9
21,0,21,163.0,49.0,18.44,0.81,1,-1,1,1.0,1,1.0,0,2021/7/26,17:30:00,1,25.2,70.4
42,1,21,177.0,89.0,28.41,1.84,1,-1,-1,2.0,0,-1.0,0,2021/7/26,09:00:00,5,26.8,64.8
42,1,21,177.0,89.0,28.41,1.84,1,-1,-1,2.0,1,-1.0,0,2021/7/26,09:30:00,5,27.7,62.7
42,1,21,177.0,89.0,28.41,1.84,1,-1,-1,2.0,1,-1.0,0,2021/7/26,10:00:00,5,28.0,62.6
42,1,21,177.0,89.0,28.41,1.84,1,-1,-1,1.0,1,-1.0,0,2021/7/26,10:30:00,5,28.1,62.4
42,1,21,177.0,89.0,28.41,1.84,1,-1,-1,1.0,1,-1.0,0,2021/7/26,11:00:00,5,27.9,63.5
42,1,21,177.0,89.0,28.41,1.84,1,-1,-1,1.0,1,-1.0,0,2021/7/26,11:30:00,5,27.9,63.7
42,1,21,177.0,89.0,28.41,1.84,1,-1,-1,1.0,1,-1.0,0,2021/7/26,12:00:00,5,27.9,64.0
42,1,21,177.0,89.0,28.41,1.84,1,-1,-1,1.0,1,0.0,0,2021/7/26,14:30:00,5,26.9,62.8
42,1,21,177.0,89.0,28.41,1.84,1,-1,-1,1.0,1,0.0,0,2021/7/26,15:00:00,5,26.3,63.5
42,1,21,177.0,89.0,28.41,1.84,1,-1,-1,1.0,1,0.0,0,2021/7/26,15:30:00,5,25.9,62.5
42,1,21,177.0,89.0,28.41,1.84,1,-1,-1,1.0,1,0.0,0,2021/7/26,16:00:00,5,24.7,60.6
42,1,21,177.0,89.0,28.41,1.84,1,-1,-1,1.0,1,0.0,0,2021/7/26,16:30:00,5,24.2,58.5
42,1,21,177.0,89.0,28.41,1.84,1,-1,-1,0.0,1,1.0,0,2021/7/26,17:00:00,5,24.4,59.3
42,1,21,177.0,89.0,28.41,1.84,1,-1,-1,0.0,1,1.0,0,2021/7/26,17:30:00,5,25.2,55.6
44,1,24,180.0,78.0,24.07,1.24,1,0,1,2.0,0,-1.0,0,2021/7/26,09:00:00,5,26.8,64.8
44,1,24,180.0,78.0,24.07,1.24,1,0,1,2.0,0,-1.0,0,2021/7/26,09:30:00,5,27.7,62.7
44,1,24,180.0,78.0,24.07,1.24,1,0,1,2.0,0,-1.0,0,2021/7/26,10:00:00,5,28.0,62.6
44,1,24,180.0,78.0,24.07,1.24,1,0,1,2.0,0,-1.0,0,2021/7/26,10:30:00,5,28.1,62.4
44,1,24,180.0,78.0,24.07,1.24,1,0,1,2.0,0,-1.0,0,2021/7/26,11:00:00,5,27.9,63.5
