no,gender,age,height,weight,bmi,griffith,sensitivity,environment,thermal sensation,thermal comfort,thermal preference,room,seat,season,date,time,ta,hr
1,1,25,186,90,0,0.84,2,1,0,1,2,217,2,summer,2019/7/4,17:37:00,26,46.71
1,1,25,186,90,0,0.84,2,1,1.5,2,1,217,2,summer,2019/7/8,9:00:00,27.2,46.26
1,1,25,186,90,0,0.84,2,1,-0.5,1,2,217,2,summer,2019/7/8,16:00:00,25.5,52.04
1,1,25,186,90,0,0.84,2,1,-0.5,1,3,217,2,summer,2019/7/8,17:31:00,25.1,54.37
1,1,25,186,90,0,0.84,2,1,-0.5,1,2,217,2,summer,2019/7/8,16:31:00,25.1,50.96
1,1,25,186,90,0,0.84,2,1,0,1,2,217,2,summer,2019/7/8,15:30:00,26.2,53.5
1,1,25,186,90,0,0.84,2,1,0,1,2,217,2,summer,2019/7/8,9:32:00,26.2,46.26
1,1,25,186,90,0,0.84,2,1,0,1,2,217,2,summer,2019/7/8,15:00:00,25.6,50.71
1,1,25,186,90,0,0.84,2,1,-2,2,3,217,2,summer,2019/7/8,14:30:00,24.3,50.08
1,1,25,186,90,0,0.84,2,1,-1.5,2,3,217,2,summer,2019/7/8,12:11:00,25.1,46.82
1,1,25,186,90,0,0.84,2,1,-1,2,3,217,2,summer,2019/7/8,11:41:00,25.2,46.4
1,1,25,186,90,0,0.84,2,1,-1,2,3,217,2,summer,2019/7/8,11:11:00,25.4,46.13
1,1,25,186,90,0,0.84,2,1,-0.5,1,2,217,2,summer,2019/7/8,10:40:00,25.6,45.76
1,1,25,186,90,0,0.84,2,1,0,1,2,217,2,summer,2019/7/8,10:10:00,25.9,45.71
1,1,25,186,90,0,0.84,2,1,-1,2,3,202,4,summer,2019/7/17,16:38:00,25.1,54.39
1,1,25,186,90,0,0.84,2,1,-0.5,1,2,217,2,summer,2019/7/8,17:01:00,25.1,53.72
1,1,25,186,90,0,0.84,2,1,-2,2,3,202,4,summer,2019/7/17,17:39:00,24.5,53.1
1,1,25,186,90,0,0.84,2,1,0,1,2,217,2,summer,2019/7/24,9:00:00,23.6,65.48
1,1,25,186,90,0,0.84,2,1,-2,2,3,217,2,summer,2019/7/24,10:01:00,23.5,57.14
1,1,25,186,90,0,0.84,2,1,0,1,2,217,2,summer,2019/7/24,10:32:00,24.9,60.94
1,1,25,186,90,0,0.84,2,1,1,1,2,217,2,summer,2019/7/24,11:02:00,25.5,62
1,1,25,186,90,0,0.84,2,1,-1.5,2,3,217,2,summer,2019/7/24,11:32:00,24.6,56.78
1,1,25,186,90,0,0.84,2,1,-2.5,2,3,217,2,summer,2019/7/24,12:02:00,24.3,55.84
1,1,25,186,90,0,0.84,2,1,0,1,2,217,2,summer,2019/7/24,14:30:00,26.7,61.48
1,1,25,186,90,0,0.84,2,1,0.5,1,2,217,2,summer,2019/7/24,15:00:00,27.2,61.9
1,1,25,186,90,0,0.84,2,1,0,1,2,217,2,summer,2019/7/24,15:30:00,25.9,54.53
1,1,25,186,90,0,0.84,2,1,-0.5,1,2,217,2,summer,2019/7/24,16:00:00,25.5,54.16
1,1,25,186,90,0,0.84,2,1,-1,2,3,217,2,summer,2019/7/24,16:30:00,25.3,53.99
1,1,25,186,90,0,0.84,2,1,-0.5,1,2,217,2,summer,2019/7/24,17:00:00,25.2,53.96
1,1,25,186,90,0,0.84,2,1,-1,2,3,217,2,summer,2019/7/24,17:30:00,25.3,54.66
1,1,25,186,90,0,0.84,2,1,0,1,2,202,1,summer,2019/7/26,9:01:00,26.1,65.03
1,1,25,186,90,0,0.84,2,1,0,1,2,202,1,summer,2019/7/26,9:32:00,25.3,57.56
1,1,25,186,90,0,0.84,2,1,-0.5,2,3,202,1,summer,2019/7/26,10:32:00,24.4,56.94
1,1,25,186,90,0,0.84,2,1,-1,2,3,202,1,summer,2019/7/26,10:58:00,24.4,57.95
1,1,25,186,90,0,0.84,2,1,0,1,2,202,1,summer,2019/7/26,11:28:00,25.3,58.96
1,1,25,186,90,0,0.84,2,1,0,1,2,202,1,summer,2019/7/26,12:00:00,25.7,59.84
1,1,25,186,90,0,0.84,2,1,-1,2,3,202,1,summer,2019/7/26,14:30:00,24.4,56.69
1,1,25,186,90,0,0.84,2,1,-1,2,3,202,1,summer,2019/7/26,15:00:00,24.5,57.03
1,1,25,186,90,0,0.84,2,1,-1,2,3,202,1,summer,2019/7/26,16:00:00,24.4,56.97
1,1,25,186,90,0,0.84,2,1,-1,2,3,202,1,summer,2019/7/26,16:30:00,24.4,57.65
1,1,25,186,90,0,0.84,2,1,-1.5,2,3,202,1,summer,2019/7/26,17:01:00,24.4,57.83
1,1,25,186,90,0,0.84,2,1,0.5,1,2,202,1,summer,2019/7/26,17:32:00,25.3,60.1
1,1,25,186,90,0,0.84,2,1,0.5,1,2,224,3,summer,2019/7/19,9:00:00,25.7,58.36
1,1,25,186,90,0,0.84,2,1,-1,2,3,217,2,summer,2019/7/24,9:31:00,23.4,58.72
1,1,25,186,90,0,0.84,2,1,-1,2,3,202,1,summer,2019/7/26,15:30:00,24.4,56.75
1,1,25,186,90,0,0.84,2,1,-1.5,2,3,224,2,summer,2019/7/22,17:30:00,24.8,54.39
1,1,25,186,90,0,0.84,2,1,1,2,1,224,3,summer,2019/7/19,17:30:00,26.8,61.35
1,1,25,186,90,0,0.84,2,1,0,1,2,224,3,summer,2019/7/19,9:30:00,24.9,61.27
1,1,25,186,90,0,0.84,2,1,1,2,1,224,2,summer,2019/7/22,17:00:00,26.7,60.01
1,1,25,186,90,0,0.84,2,1,-1,2,3,224,3,summer,2019/7/19,10:00:00,24.3,55.74
1,1,25,186,90,0,0.84,2,1,-1.5,2,3,224,3,summer,2019/7/19,10:31:00,24,56.66
1,1,25,186,90,0,0.84,2,1,0,1,2,224,3,summer,2019/7/19,11:39:00,26.2,60.58
1,1,25,186,90,0,0.84,2,1,0,1,2,224,3,summer,2019/7/19,12:10:00,26.5,61.76
1,1,25,186,90,0,0.84,2,1,-0.5,1,2,224,3,summer,2019/7/19,14:29:00,24.1,56.82
1,1,25,186,90,0,0.84,2,1,-0.5,2,3,224,3,summer,2019/7/19,14:59:00,23.9,56.41
1,1,25,186,90,0,0.84,2,1,-1.5,2,3,224,3,summer,2019/7/19,15:29:00,23.8,57.01
1,1,25,186,90,0,0.84,2,1,0,1,2,224,3,summer,2019/7/19,16:00:00,25.4,58.44
1,1,25,186,90,0,0.84,2,1,0,1,2,224,3,summer,2019/7/19,16:30:00,26.1,59.82
1,1,25,186,90,0,0.84,2,1,0.5,1,2,224,3,summer,2019/7/19,17:00:00,26.5,60.78
1,1,25,186,90,0,0.84,2,1,0,1,2,224,3,summer,2019/7/19,11:01:00,25.6,59.38
1,1,25,186,90,0,0.84,2,1,0,1,2,224,2,summer,2019/7/22,9:06:00,25.1,63.97
1,1,25,186,90,0,0.84,2,1,0,1,2,224,2,summer,2019/7/22,12:07:00,26.4,64.44
1,1,25,186,90,0,0.84,2,1,0.5,1,2,224,2,summer,2019/7/22,16:30:00,26.5,61.82
1,1,25,186,90,0,0.84,2,1,-1,2,3,224,2,summer,2019/7/22,9:37:00,24.3,59.6
1,1,25,186,90,0,0.84,2,1,0.5,1,2,224,2,summer,2019/7/22,15:30:00,25.6,59.34
1,1,25,186,90,0,0.84,2,1,0,1,2,224,2,summer,2019/7/22,16:00:00,26.1,61.03
1,1,25,186,90,0,0.84,2,1,-2,2,3,224,2,summer,2019/7/22,14:29:00,24.5,54.96
1,1,25,186,90,0,0.84,2,1,-2.5,2,3,224,2,summer,2019/7/22,14:59:00,24.1,55.93
1,1,25,186,90,0,0.84,2,1,0,1,2,224,2,summer,2019/7/22,11:37:00,26,63.9
1,1,25,186,90,0,0.84,2,1,0,1,2,224,2,summer,2019/7/22,11:07:00,25.4,62.54
