no,gender,age,height,weight,bmi,griffith,sensitivity,preference,environment,tsv,thermal comfort,thermal preference,season,date,time,room,ta,hr
1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,1.0,1,3.0,1,2021/1/17,09:00:00,6,20.9,15.7
1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,1.0,1,2.0,1,2021/1/17,09:30:00,6,21.4,17.4
1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,1.0,1,3.0,1,2021/1/17,10:00:00,6,22.0,17.5
1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,1.0,1,2.0,1,2021/1/17,10:30:00,6,22.3,16.9
1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,1.0,1,2.0,1,2021/1/17,11:00:00,6,25.3,14.4
1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,1.0,1,2.0,1,2021/1/17,11:30:00,6,25.8,13.8
1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,1.0,1,2.0,1,2021/1/17,12:00:00,6,26.3,13.3
1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,2.0,0,1.0,1,2021/1/17,14:30:00,6,27.3,11.6
1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,1.0,1,1.0,1,2021/1/17,15:00:00,6,25.5,13.8
1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,1.0,1,1.0,1,2021/1/17,15:30:00,6,25.3,14.2
1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,1.0,1,2.0,1,2021/1/17,16:00:00,6,25.4,14.4
1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,1.0,1,2.0,1,2021/1/17,16:30:00,6,25.3,14.3
1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,1.0,1,2.0,1,2021/1/17,17:00:00,6,25.2,14.6
1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,1.0,1,1.0,1,2021/1/17,17:30:00,6,24.9,14.7
3,1,23,173.0,85.0,28.4,1.28,0,-1,0,1.0,1,2.0,1,2021/1/17,09:00:00,5,21.9,11.8
3,1,23,173.0,85.0,28.4,1.28,0,-1,0,1.0,1,2.0,1,2021/1/17,09:30:00,5,22.5,13.2
3,1,23,173.0,85.0,28.4,1.28,0,-1,0,1.0,1,2.0,1,2021/1/17,10:00:00,5,22.8,14.1
3,1,23,173.0,85.0,28.4,1.28,0,-1,0,1.0,1,2.0,1,2021/1/17,10:30:00,5,23.1,14.7
3,1,23,173.0,85.0,28.4,1.28,0,-1,0,1.0,1,2.0,1,2021/1/17,11:00:00,5,24.1,14.1
3,1,23,173.0,85.0,28.4,1.28,0,-1,0,1.0,1,2.0,1,2021/1/17,11:30:00,5,24.6,14.1
3,1,23,173.0,85.0,28.4,1.28,0,-1,0,2.0,1,2.0,1,2021/1/17,12:00:00,5,25.0,13.9
3,1,23,173.0,85.0,28.4,1.28,0,-1,0,2.0,1,1.0,1,2021/1/17,14:30:00,5,25.8,13.3
3,1,23,173.0,85.0,28.4,1.28,0,-1,0,2.0,1,1.0,1,2021/1/17,15:00:00,5,25.4,14.3
3,1,23,173.0,85.0,28.4,1.28,0,-1,0,2.0,1,2.0,1,2021/1/17,15:30:00,5,25.2,14.9
3,1,23,173.0,85.0,28.4,1.28,0,-1,0,2.0,1,2.0,1,2021/1/17,16:00:00,5,25.2,15.3
3,1,23,173.0,85.0,28.4,1.28,0,-1,0,2.0,1,2.0,1,2021/1/17,16:30:00,5,25.1,15.7
3,1,23,173.0,85.0,28.4,1.28,0,-1,0,1.0,1,2.0,1,2021/1/17,17:00:00,5,25.1,16.1
3,1,23,173.0,85.0,28.4,1.28,0,-1,0,1.0,1,2.0,1,2021/1/17,17:30:00,5,25.0,16.2
16,1,22,180.0,66.0,20.37,2.27,1,-1,1,1.0,1,2.0,1,2021/1/17,09:00:00,5,21.9,11.8
16,1,22,180.0,66.0,20.37,2.27,1,-1,1,1.0,1,2.0,1,2021/1/17,09:30:00,5,22.5,13.2
16,1,22,180.0,66.0,20.37,2.27,1,-1,1,1.0,1,2.0,1,2021/1/17,10:00:00,5,22.8,14.1
16,1,22,180.0,66.0,20.37,2.27,1,-1,1,1.0,1,3.0,1,2021/1/17,10:30:00,5,23.1,14.7
16,1,22,180.0,66.0,20.37,2.27,1,-1,1,1.0,1,2.0,1,2021/1/17,11:00:00,5,24.1,14.1
16,1,22,180.0,66.0,20.37,2.27,1,-1,1,1.0,1,2.0,1,2021/1/17,11:30:00,5,24.6,14.1
16,1,22,180.0,66.0,20.37,2.27,1,-1,1,1.0,1,2.0,1,2021/1/17,12:00:00,5,25.0,13.9
16,1,22,180.0,66.0,20.37,2.27,1,-1,1,1.0,1,1.0,1,2021/1/17,14:30:00,5,25.8,13.3
16,1,22,180.0,66.0,20.37,2.27,1,-1,1,1.0,1,2.0,1,2021/1/17,15:00:00,5,25.4,14.3
16,1,22,180.0,66.0,20.37,2.27,1,-1,1,1.0,1,2.0,1,2021/1/17,15:30:00,5,25.2,14.9
16,1,22,180.0,66.0,20.37,2.27,1,-1,1,1.0,1,2.0,1,2021/1/17,16:00:00,5,25.2,15.3
16,1,22,180.0,66.0,20.37,2.27,1,-1,1,1.0,1,2.0,1,2021/1/17,16:30:00,5,25.1,15.7
16,1,22,180.0,66.0,20.37,2.27,1,-1,1,1.0,1,2.0,1,2021/1/17,17:00:00,5,25.1,16.1
16,1,22,180.0,66.0,20.37,2.27,1,-1,1,1.0,1,2.0,1,2021/1/17,17:30:00,5,25.0,16.2
29,0,24,164.0,47.0,17.47,0.94,1,0,1,1.0,1,2.0,1,2021/1/17,09:00:00,4,22.1,13.4
29,0,24,164.0,47.0,17.47,0.94,1,0,1,1.0,1,3.0,1,2021/1/17,09:30:00,4,22.5,14.9
29,0,24,164.0,47.0,17.47,0.94,1,0,1,1.0,1,3.0,1,2021/1/17,10:00:00,4,23.0,16.8
