no,gender,age,height,weight,bmi,griffith,sensitivity,preference,environment,tsv,thermal comfort,thermal preference,season,date,time,room,ta,hr
4,1,24,183.0,80.0,23.89,0.96,1,1,1,2.0,1,-1.0,0,2021/7/20,09:00:00,5,27.9,56.4
4,1,24,183.0,80.0,23.89,0.96,1,1,1,2.0,0,-1.0,0,2021/7/20,09:30:00,5,28.1,58.7
4,1,24,183.0,80.0,23.89,0.96,1,1,1,2.0,0,-1.0,0,2021/7/20,10:00:00,5,28.4,59.9
4,1,24,183.0,80.0,23.89,0.96,1,1,1,2.0,1,-1.0,0,2021/7/20,10:30:00,5,28.4,61.5
4,1,24,183.0,80.0,23.89,0.96,1,1,1,2.0,1,-1.0,0,2021/7/20,11:00:00,5,27.5,63.3
4,1,24,183.0,80.0,23.89,0.96,1,1,1,2.0,1,-1.0,0,2021/7/20,11:30:00,5,27.3,62.6
4,1,24,183.0,80.0,23.89,0.96,1,1,1,2.0,1,-1.0,0,2021/7/20,12:00:00,5,27.1,61.8
4,1,24,183.0,80.0,23.89,0.96,1,1,1,1.0,1,-1.0,0,2021/7/20,14:30:00,5,26.2,62.0
4,1,24,183.0,80.0,23.89,0.96,1,1,1,2.0,1,-1.0,0,2021/7/20,15:00:00,5,26.8,60.6
4,1,24,183.0,80.0,23.89,0.96,1,1,1,2.0,1,-1.0,0,2021/7/20,15:30:00,5,26.8,60.6
4,1,24,183.0,80.0,23.89,0.96,1,1,1,1.0,1,-1.0,0,2021/7/20,16:00:00,5,25.2,62.2
4,1,24,183.0,80.0,23.89,0.96,1,1,1,2.0,1,-1.0,0,2021/7/20,16:30:00,5,24.7,58.5
4,1,24,183.0,80.0,23.89,0.96,1,1,1,1.0,1,-1.0,0,2021/7/20,17:00:00,5,24.7,58.2
4,1,24,183.0,80.0,23.89,0.96,1,1,1,1.0,1,0.0,0,2021/7/20,17:30:00,5,24.5,56.8
14,1,24,181.0,70.0,21.37,1.16,1,-1,1,2.0,0,-1.0,0,2021/7/20,09:00:00,5,27.9,56.4
14,1,24,181.0,70.0,21.37,1.16,1,-1,1,2.0,0,-1.0,0,2021/7/20,09:30:00,5,28.1,58.7
14,1,24,181.0,70.0,21.37,1.16,1,-1,1,2.0,1,-1.0,0,2021/7/20,10:00:00,5,28.4,59.9
14,1,24,181.0,70.0,21.37,1.16,1,-1,1,2.0,0,-1.0,0,2021/7/20,10:30:00,5,28.4,61.5
14,1,24,181.0,70.0,21.37,1.16,1,-1,1,1.0,1,0.0,0,2021/7/20,11:00:00,5,27.5,63.3
14,1,24,181.0,70.0,21.37,1.16,1,-1,1,1.0,1,0.0,0,2021/7/20,11:30:00,5,27.3,62.6
14,1,24,181.0,70.0,21.37,1.16,1,-1,1,1.0,1,0.0,0,2021/7/20,12:00:00,5,27.1,61.8
14,1,24,181.0,70.0,21.37,1.16,1,-1,1,1.0,1,0.0,0,2021/7/20,14:30:00,5,26.2,62.0
14,1,24,181.0,70.0,21.37,1.16,1,-1,1,2.0,1,0.0,0,2021/7/20,15:00:00,5,26.8,60.6
14,1,24,181.0,70.0,21.37,1.16,1,-1,1,2.0,1,0.0,0,2021/7/20,15:30:00,5,26.8,60.6
14,1,24,181.0,70.0,21.37,1.16,1,-1,1,1.0,1,1.0,0,2021/7/20,16:00:00,5,25.2,62.2
14,1,24,181.0,70.0,21.37,1.16,1,-1,1,1.0,1,1.0,0,2021/7/20,16:30:00,5,24.7,58.5
14,1,24,181.0,70.0,21.37,1.16,1,-1,1,0.0,1,1.0,0,2021/7/20,17:00:00,5,24.7,58.2
14,1,24,181.0,70.0,21.37,1.16,1,-1,1,0.0,0,1.0,0,2021/7/20,17:30:00,5,24.5,56.8
16,1,23,180.0,70.0,21.6,2.27,1,-1,-1,2.0,0,-1.0,0,2021/7/20,09:00:00,5,27.9,56.4
16,1,23,180.0,70.0,21.6,2.27,1,-1,-1,2.0,0,-1.0,0,2021/7/20,09:30:00,5,28.1,58.7
16,1,23,180.0,70.0,21.6,2.27,1,-1,-1,2.0,0,-1.0,0,2021/7/20,10:00:00,5,28.4,59.9
16,1,23,180.0,70.0,21.6,2.27,1,-1,-1,2.0,0,-1.0,0,2021/7/20,10:30:00,5,28.4,61.5
