ta,hr,tsv
20.0,50.0,0
20.2,50.0,0
20.4,50.0,0
20.6,50.0,0
20.8,50.0,0
21.0,50.0,0
21.2,50.0,0
21.399999999999995,50.0,0
21.599999999999994,50.0,0
21.799999999999997,50.0,0
21.999999999999996,50.0,0
22.199999999999992,50.0,0
22.39999999999999,50.0,0
22.59999999999999,50.0,0
22.79999999999999,50.0,1
22.99999999999999,50.0,1
23.19999999999999,50.0,1
23.399999999999988,50.0,1
23.599999999999987,50.0,1
23.799999999999983,50.0,1
23.999999999999982,50.0,1
24.199999999999985,50.0,1
24.399999999999984,50.0,1
24.599999999999984,50.0,1
24.799999999999983,50.0,1
24.999999999999982,50.0,1
25.19999999999998,50.0,1
25.39999999999998,50.0,1
25.59999999999998,50.0,1
25.79999999999998,50.0,2
25.99999999999998,50.0,2
26.199999999999974,50.0,2
26.399999999999977,50.0,2
26.599999999999977,50.0,2
26.799999999999976,50.0,2
26.99999999999997,50.0,2
27.19999999999997,50.0,2
27.399999999999974,50.0,2
27.599999999999973,50.0,2
27.79999999999997,50.0,2
27.99999999999997,50.0,2
28.19999999999997,50.0,2
28.39999999999997,50.0,2
28.59999999999997,50.0,2
28.79999999999997,50.0,2
28.999999999999968,50.0,2
29.199999999999967,50.0,2
29.399999999999967,50.0,2
29.59999999999997,50.0,2
29.799999999999965,50.0,2
20.0,51.0,0
20.2,51.0,0
20.4,51.0,0
20.6,51.0,0
20.8,51.0,0
21.0,51.0,0
21.2,51.0,0
21.399999999999995,51.0,0
21.599999999999994,51.0,0
21.799999999999997,51.0,0
21.999999999999996,51.0,0
22.199999999999992,51.0,0
22.39999999999999,51.0,0
22.59999999999999,51.0,0
22.79999999999999,51.0,1
22.99999999999999,51.0,1
23.19999999999999,51.0,1
23.399999999999988,51.0,1
23.599999999999987,51.0,1
23.799999999999983,51.0,1
23.999999999999982,51.0,1
24.199999999999985,51.0,1
24.399999999999984,51.0,1
24.599999999999984,51.0,1
24.799999999999983,51.0,1
24.999999999999982,51.0,1
25.19999999999998,51.0,1
25.39999999999998,51.0,1
25.59999999999998,51.0,1
25.79999999999998,51.0,2
25.99999999999998,51.0,2
26.199999999999974,51.0,2
26.399999999999977,51.0,2
26.599999999999977,51.0,2
26.799999999999976,51.0,2
26.99999999999997,51.0,2
27.19999999999997,51.0,2
27.399999999999974,51.0,2
27.599999999999973,51.0,2
27.79999999999997,51.0,2
27.99999999999997,51.0,2
28.19999999999997,51.0,2
28.39999999999997,51.0,2
28.59999999999997,51.0,2
28.79999999999997,51.0,2
28.999999999999968,51.0,2
29.199999999999967,51.0,2
29.399999999999967,51.0,2
29.59999999999997,51.0,2
29.799999999999965,51.0,2
20.0,52.0,0
20.2,52.0,0
20.4,52.0,0
20.6,52.0,0
20.8,52.0,0
21.0,52.0,0
21.2,52.0,0
21.399999999999995,52.0,0
21.599999999999994,52.0,0
21.799999999999997,52.0,0
21.999999999999996,52.0,0
22.199999999999992,52.0,0
22.39999999999999,52.0,0
22.59999999999999,52.0,0
22.79999999999999,52.0,1
22.99999999999999,52.0,1
23.19999999999999,52.0,1
23.399999999999988,52.0,1
23.599999999999987,52.0,1
23.799999999999983,52.0,1
23.999999999999982,52.0,1
24.199999999999985,52.0,1
24.399999999999984,52.0,1
24.599999999999984,52.0,1
24.799999999999983,52.0,1
24.999999999999982,52.0,1
25.19999999999998,52.0,1
25.39999999999998,52.0,1
25.59999999999998,52.0,2
25.79999999999998,52.0,2
25.99999999999998,52.0,2
26.199999999999974,52.0,2
26.399999999999977,52.0,2
26.599999999999977,52.0,2
26.799999999999976,52.0,2
26.99999999999997,52.0,2
27.19999999999997,52.0,2
27.399999999999974,52.0,2
27.599999999999973,52.0,2
27.79999999999997,52.0,2
27.99999999999997,52.0,2
28.19999999999997,52.0,2
28.39999999999997,52.0,2
28.59999999999997,52.0,2
28.79999999999997,52.0,2
28.999999999999968,52.0,2
29.199999999999967,52.0,2
29.399999999999967,52.0,2
29.59999999999997,52.0,2
29.799999999999965,52.0,2
20.0,53.0,0
20.2,53.0,0
20.4,53.0,0
20.6,53.0,0
20.8,53.0,0
21.0,53.0,0
21.2,53.0,0
21.399999999999995,53.0,0
21.599999999999994,53.0,0
21.799999999999997,53.0,0
21.999999999999996,53.0,0
22.199999999999992,53.0,0
22.39999999999999,53.0,0
22.59999999999999,53.0,0
22.79999999999999,53.0,1
22.99999999999999,53.0,1
23.19999999999999,53.0,1
23.399999999999988,53.0,1
23.599999999999987,53.0,1
23.799999999999983,53.0,1
23.999999999999982,53.0,1
24.199999999999985,53.0,1
24.399999999999984,53.0,1
24.599999999999984,53.0,1
24.799999999999983,53.0,1
24.999999999999982,53.0,1
25.19999999999998,53.0,1
25.39999999999998,53.0,1
25.59999999999998,53.0,2
25.79999999999998,53.0,2
25.99999999999998,53.0,2
26.199999999999974,53.0,2
26.399999999999977,53.0,2
26.599999999999977,53.0,2
26.799999999999976,53.0,2
26.99999999999997,53.0,2
27.19999999999997,53.0,2
27.399999999999974,53.0,2
27.599999999999973,53.0,2
27.79999999999997,53.0,2
27.99999999999997,53.0,2
28.19999999999997,53.0,2
28.39999999999997,53.0,2
28.59999999999997,53.0,2
28.79999999999997,53.0,2
28.999999999999968,53.0,2
29.199999999999967,53.0,2
29.399999999999967,53.0,2
29.59999999999997,53.0,2
29.799999999999965,53.0,2
20.0,54.0,0
20.2,54.0,0
20.4,54.0,0
20.6,54.0,0
20.8,54.0,0
21.0,54.0,0
21.2,54.0,0
21.399999999999995,54.0,0
21.599999999999994,54.0,0
