ta,hr,tsv
18.0,10.0,0
18.2,10.0,0
18.4,10.0,0
18.6,10.0,0
18.8,10.0,0
19.0,10.0,1
19.2,10.0,1
19.399999999999995,10.0,1
19.599999999999994,10.0,1
19.799999999999997,10.0,1
19.999999999999996,10.0,1
20.199999999999992,10.0,1
20.39999999999999,10.0,1
20.59999999999999,10.0,1
20.79999999999999,10.0,1
20.99999999999999,10.0,1
21.19999999999999,10.0,1
21.399999999999988,10.0,1
21.599999999999987,10.0,1
21.799999999999983,10.0,1
21.999999999999982,10.0,1
22.199999999999985,10.0,1
22.399999999999984,10.0,1
22.599999999999984,10.0,1
22.799999999999983,10.0,1
22.999999999999982,10.0,1
23.19999999999998,10.0,1
23.39999999999998,10.0,2
23.59999999999998,10.0,2
23.79999999999998,10.0,2
23.99999999999998,10.0,2
24.199999999999974,10.0,2
24.399999999999977,10.0,2
24.599999999999977,10.0,2
24.799999999999976,10.0,2
24.99999999999997,10.0,2
25.19999999999997,10.0,2
25.399999999999974,10.0,2
25.599999999999973,10.0,2
25.79999999999997,10.0,2
25.99999999999997,10.0,2
26.19999999999997,10.0,2
26.39999999999997,10.0,2
26.59999999999997,10.0,2
26.79999999999997,10.0,2
26.999999999999968,10.0,2
27.199999999999967,10.0,2
27.399999999999967,10.0,2
27.59999999999997,10.0,2
27.799999999999965,10.0,2
18.0,11.0,0
18.2,11.0,0
18.4,11.0,0
18.6,11.0,0
18.8,11.0,0
19.0,11.0,1
19.2,11.0,1
19.399999999999995,11.0,1
19.599999999999994,11.0,1
19.799999999999997,11.0,1
19.999999999999996,11.0,1
20.199999999999992,11.0,1
20.39999999999999,11.0,1
20.59999999999999,11.0,1
20.79999999999999,11.0,1
20.99999999999999,11.0,1
21.19999999999999,11.0,1
21.399999999999988,11.0,1
21.599999999999987,11.0,1
21.799999999999983,11.0,1
21.999999999999982,11.0,1
22.199999999999985,11.0,1
22.399999999999984,11.0,1
22.599999999999984,11.0,1
22.799999999999983,11.0,1
22.999999999999982,11.0,1
23.19999999999998,11.0,1
23.39999999999998,11.0,2
23.59999999999998,11.0,2
23.79999999999998,11.0,2
23.99999999999998,11.0,2
24.199999999999974,11.0,2
24.399999999999977,11.0,2
24.599999999999977,11.0,2
24.799999999999976,11.0,2
24.99999999999997,11.0,2
25.19999999999997,11.0,2
25.399999999999974,11.0,2
25.599999999999973,11.0,2
25.79999999999997,11.0,2
25.99999999999997,11.0,2
26.19999999999997,11.0,2
26.39999999999997,11.0,2
26.59999999999997,11.0,2
26.79999999999997,11.0,2
26.999999999999968,11.0,2
27.199999999999967,11.0,2
27.399999999999967,11.0,2
27.59999999999997,11.0,2
27.799999999999965,11.0,2
18.0,12.0,0
18.2,12.0,0
18.4,12.0,0
18.6,12.0,0
18.8,12.0,0
19.0,12.0,1
19.2,12.0,1
19.399999999999995,12.0,1
19.599999999999994,12.0,1
19.799999999999997,12.0,1
19.999999999999996,12.0,1
20.199999999999992,12.0,1
20.39999999999999,12.0,1
20.59999999999999,12.0,1
20.79999999999999,12.0,1
20.99999999999999,12.0,1
21.19999999999999,12.0,1
21.399999999999988,12.0,1
21.599999999999987,12.0,1
21.799999999999983,12.0,1
21.999999999999982,12.0,1
22.199999999999985,12.0,1
22.399999999999984,12.0,1
22.599999999999984,12.0,1
22.799999999999983,12.0,1
22.999999999999982,12.0,1
23.19999999999998,12.0,1
23.39999999999998,12.0,2
23.59999999999998,12.0,2
23.79999999999998,12.0,2
23.99999999999998,12.0,2
24.199999999999974,12.0,2
24.399999999999977,12.0,2
24.599999999999977,12.0,2
24.799999999999976,12.0,2
24.99999999999997,12.0,2
25.19999999999997,12.0,2
25.399999999999974,12.0,2
25.599999999999973,12.0,2
25.79999999999997,12.0,2
25.99999999999997,12.0,2
26.19999999999997,12.0,2
26.39999999999997,12.0,2
26.59999999999997,12.0,2
26.79999999999997,12.0,2
26.999999999999968,12.0,2
27.199999999999967,12.0,2
27.399999999999967,12.0,2
27.59999999999997,12.0,2
27.799999999999965,12.0,2
18.0,13.0,0
18.2,13.0,0
18.4,13.0,0
18.6,13.0,0
18.8,13.0,1
19.0,13.0,1
19.2,13.0,1
19.399999999999995,13.0,1
19.599999999999994,13.0,1
19.799999999999997,13.0,1
19.999999999999996,13.0,1
20.199999999999992,13.0,1
20.39999999999999,13.0,1
20.59999999999999,13.0,1
20.79999999999999,13.0,1
20.99999999999999,13.0,1
21.19999999999999,13.0,1
21.399999999999988,13.0,1
21.599999999999987,13.0,1
21.799999999999983,13.0,1
21.999999999999982,13.0,1
22.199999999999985,13.0,1
22.399999999999984,13.0,1
22.599999999999984,13.0,1
22.799999999999983,13.0,1
22.999999999999982,13.0,1
23.19999999999998,13.0,1
