no,gender,age,height,weight,bmi,griffith,sensitivity,preference,environment,tsv,thermal comfort,thermal preference,season,date,time,room,ta,hr
4,1,24,183.0,80.0,23.89,0.96,1,1,1,2.0,1,-1.0,0,2021/7/20,09:00:00,5,27.9,56.4
4,1,24,183.0,80.0,23.89,0.96,1,1,1,2.0,0,-1.0,0,2021/7/20,09:30:00,5,28.1,58.7
4,1,24,183.0,80.0,23.89,0.96,1,1,1,2.0,0,-1.0,0,2021/7/20,10:00:00,5,28.4,59.9
4,1,24,183.0,80.0,23.89,0.96,1,1,1,2.0,1,-1.0,0,2021/7/20,10:30:00,5,28.4,61.5
4,1,24,183.0,80.0,23.89,0.96,1,1,1,2.0,1,-1.0,0,2021/7/20,11:00:00,5,27.5,63.3
4,1,24,183.0,80.0,23.89,0.96,1,1,1,2.0,1,-1.0,0,2021/7/20,11:30:00,5,27.3,62.6
4,1,24,183.0,80.0,23.89,0.96,1,1,1,2.0,1,-1.0,0,2021/7/20,12:00:00,5,27.1,61.8
4,1,24,183.0,80.0,23.89,0.96,1,1,1,1.0,1,-1.0,0,2021/7/20,14:30:00,5,26.2,62.0
4,1,24,183.0,80.0,23.89,0.96,1,1,1,2.0,1,-1.0,0,2021/7/20,15:00:00,5,26.8,60.6
4,1,24,183.0,80.0,23.89,0.96,1,1,1,2.0,1,-1.0,0,2021/7/20,15:30:00,5,26.8,60.6
4,1,24,183.0,80.0,23.89,0.96,1,1,1,1.0,1,-1.0,0,2021/7/20,16:00:00,5,25.2,62.2
4,1,24,183.0,80.0,23.89,0.96,1,1,1,2.0,1,-1.0,0,2021/7/20,16:30:00,5,24.7,58.5
4,1,24,183.0,80.0,23.89,0.96,1,1,1,1.0,1,-1.0,0,2021/7/20,17:00:00,5,24.7,58.2
4,1,24,183.0,80.0,23.89,0.96,1,1,1,1.0,1,0.0,0,2021/7/20,17:30:00,5,24.5,56.8
18,0,22,163.0,48.0,18.07,1.09,1,-1,-1,2.0,0,-1.0,0,2021/7/20,09:00:00,5,27.9,56.4
18,0,22,163.0,48.0,18.07,1.09,1,-1,-1,2.0,0,-1.0,0,2021/7/20,09:30:00,5,28.1,58.7
18,0,22,163.0,48.0,18.07,1.09,1,-1,-1,2.0,0,-1.0,0,2021/7/20,10:00:00,5,28.4,59.9
18,0,22,163.0,48.0,18.07,1.09,1,-1,-1,2.0,0,-1.0,0,2021/7/20,10:30:00,5,28.4,61.5
18,0,22,163.0,48.0,18.07,1.09,1,-1,-1,2.0,1,-1.0,0,2021/7/20,11:00:00,5,27.5,63.3
18,0,22,163.0,48.0,18.07,1.09,1,-1,-1,1.0,1,0.0,0,2021/7/20,11:30:00,5,27.3,62.6
18,0,22,163.0,48.0,18.07,1.09,1,-1,-1,1.0,1,0.0,0,2021/7/20,12:00:00,5,27.1,61.8
18,0,22,163.0,48.0,18.07,1.09,1,-1,-1,2.0,0,-1.0,0,2021/7/20,14:30:00,5,26.2,62.0
18,0,22,163.0,48.0,18.07,1.09,1,-1,-1,1.0,0,-1.0,0,2021/7/20,15:00:00,5,26.8,60.6
18,0,22,163.0,48.0,18.07,1.09,1,-1,-1,1.0,0,-1.0,0,2021/7/20,15:30:00,5,26.8,60.6
18,0,22,163.0,48.0,18.07,1.09,1,-1,-1,1.0,1,0.0,0,2021/7/20,16:00:00,5,25.2,62.2
18,0,22,163.0,48.0,18.07,1.09,1,-1,-1,1.0,1,0.0,0,2021/7/20,16:30:00,5,24.7,58.5
18,0,22,163.0,48.0,18.07,1.09,1,-1,-1,0.0,1,1.0,0,2021/7/20,17:00:00,5,24.7,58.2
18,0,22,163.0,48.0,18.07,1.09,1,-1,-1,0.0,0,1.0,0,2021/7/20,17:30:00,5,24.5,56.8
21,0,21,163.0,49.0,18.44,0.81,1,-1,1,2.0,0,-1.0,0,2021/7/20,09:00:00,5,27.9,56.4
21,0,21,163.0,49.0,18.44,0.81,1,-1,1,2.0,1,-1.0,0,2021/7/20,09:30:00,5,28.1,58.7
21,0,21,163.0,49.0,18.44,0.81,1,-1,1,1.0,1,-1.0,0,2021/7/20,10:00:00,5,28.4,59.9
21,0,21,163.0,49.0,18.44,0.81,1,-1,1,1.0,1,-1.0,0,2021/7/20,10:30:00,5,28.4,61.5
