no,gender,age,height,weight,bmi,griffith,sensitivity,preference,environment,tsv,thermal comfort,thermal preference,season,date,time,room,ta,hr
2,1,21,176.0,56.0,18.08,1.02,2,0,-1,1.0,1,0.0,0,2021/7/22,09:00:00,5,24.4,59.6
2,1,21,176.0,56.0,18.08,1.02,2,0,-1,1.0,1,0.0,0,2021/7/22,09:30:00,5,24.6,59.3
2,1,21,176.0,56.0,18.08,1.02,2,0,-1,1.0,1,0.0,0,2021/7/22,10:00:00,5,24.6,59.1
2,1,21,176.0,56.0,18.08,1.02,2,0,-1,1.0,1,0.0,0,2021/7/22,10:30:00,5,24.7,59.4
2,1,21,176.0,56.0,18.08,1.02,2,0,-1,1.0,1,0.0,0,2021/7/22,11:00:00,5,25.3,60.4
2,1,21,176.0,56.0,18.08,1.02,2,0,-1,1.0,1,0.0,0,2021/7/22,11:30:00,5,25.6,59.8
2,1,21,176.0,56.0,18.08,1.02,2,0,-1,1.0,1,0.0,0,2021/7/22,12:00:00,5,25.8,59.6
2,1,21,176.0,56.0,18.08,1.02,2,0,-1,2.0,0,-1.0,0,2021/7/22,14:30:00,5,25.9,59.0
2,1,21,176.0,56.0,18.08,1.02,2,0,-1,2.0,0,-1.0,0,2021/7/22,15:00:00,5,26.3,59.4
2,1,21,176.0,56.0,18.08,1.02,2,0,-1,2.0,0,-1.0,0,2021/7/22,15:30:00,5,26.4,59.7
2,1,21,176.0,56.0,18.08,1.02,2,0,-1,2.0,0,-1.0,0,2021/7/22,16:00:00,5,26.8,60.6
2,1,21,176.0,56.0,18.08,1.02,2,0,-1,2.0,0,-1.0,0,2021/7/22,16:30:00,5,27.0,60.8
2,1,21,176.0,56.0,18.08,1.02,2,0,-1,2.0,1,-1.0,0,2021/7/22,17:00:00,5,27.0,60.8
2,1,21,176.0,56.0,18.08,1.02,2,0,-1,1.0,1,-1.0,0,2021/7/22,17:30:00,5,26.9,60.8
4,1,24,183.0,80.0,23.89,0.96,1,1,1,1.0,1,0.0,0,2021/7/22,09:00:00,5,24.4,59.6
4,1,24,183.0,80.0,23.89,0.96,1,1,1,1.0,1,0.0,0,2021/7/22,09:30:00,5,24.6,59.3
4,1,24,183.0,80.0,23.89,0.96,1,1,1,1.0,1,0.0,0,2021/7/22,10:00:00,5,24.6,59.1
4,1,24,183.0,80.0,23.89,0.96,1,1,1,1.0,1,0.0,0,2021/7/22,10:30:00,5,24.7,59.4
4,1,24,183.0,80.0,23.89,0.96,1,1,1,2.0,1,-1.0,0,2021/7/22,11:00:00,5,25.3,60.4
4,1,24,183.0,80.0,23.89,0.96,1,1,1,2.0,1,-1.0,0,2021/7/22,11:30:00,5,25.6,59.8
4,1,24,183.0,80.0,23.89,0.96,1,1,1,1.0,1,0.0,0,2021/7/22,12:00:00,5,25.8,59.6
4,1,24,183.0,80.0,23.89,0.96,1,1,1,2.0,0,-1.0,0,2021/7/22,14:30:00,5,25.9,59.0
4,1,24,183.0,80.0,23.89,0.96,1,1,1,1.0,1,0.0,0,2021/7/22,15:00:00,5,26.3,59.4
4,1,24,183.0,80.0,23.89,0.96,1,1,1,1.0,1,0.0,0,2021/7/22,15:30:00,5,26.4,59.7
4,1,24,183.0,80.0,23.89,0.96,1,1,1,1.0,1,0.0,0,2021/7/22,16:00:00,5,26.8,60.6
4,1,24,183.0,80.0,23.89,0.96,1,1,1,2.0,0,0.0,0,2021/7/22,16:30:00,5,27.0,60.8
4,1,24,183.0,80.0,23.89,0.96,1,1,1,2.0,1,0.0,0,2021/7/22,17:00:00,5,27.0,60.8
4,1,24,183.0,80.0,23.89,0.96,1,1,1,1.0,1,0.0,0,2021/7/22,17:30:00,5,26.9,60.8
8,0,28,168.0,54.0,19.13,0.49,1,0,1,1.0,1,0.0,0,2021/7/22,09:00:00,5,24.4,59.6
8,0,28,168.0,54.0,19.13,0.49,1,0,1,1.0,1,0.0,0,2021/7/22,09:30:00,5,24.6,59.3
8,0,28,168.0,54.0,19.13,0.49,1,0,1,0.0,1,1.0,0,2021/7/22,10:00:00,5,24.6,59.1
8,0,28,168.0,54.0,19.13,0.49,1,0,1,0.0,1,1.0,0,2021/7/22,10:30:00,5,24.7,59.4
8,0,28,168.0,54.0,19.13,0.49,1,0,1,1.0,1,1.0,0,2021/7/22,11:00:00,5,25.3,60.4
8,0,28,168.0,54.0,19.13,0.49,1,0,1,1.0,1,1.0,0,2021/7/22,11:30:00,5,25.6,59.8
8,0,28,168.0,54.0,19.13,0.49,1,0,1,1.0,1,0.0,0,2021/7/22,12:00:00,5,25.8,59.6
8,0,28,168.0,54.0,19.13,0.49,1,0,1,1.0,0,-1.0,0,2021/7/22,14:30:00,5,25.9,59.0
8,0,28,168.0,54.0,19.13,0.49,1,0,1,2.0,0,-1.0,0,2021/7/22,15:00:00,5,26.3,59.4
8,0,28,168.0,54.0,19.13,0.49,1,0,1,2.0,0,-1.0,0,2021/7/22,15:30:00,5,26.4,59.7
8,0,28,168.0,54.0,19.13,0.49,1,0,1,2.0,0,-1.0,0,2021/7/22,16:00:00,5,26.8,60.6
8,0,28,168.0,54.0,19.13,0.49,1,0,1,2.0,0,-1.0,0,2021/7/22,16:30:00,5,27.0,60.8
8,0,28,168.0,54.0,19.13,0.49,1,0,1,2.0,0,-1.0,0,2021/7/22,17:00:00,5,27.0,60.8
8,0,28,168.0,54.0,19.13,0.49,1,0,1,2.0,0,-1.0,0,2021/7/22,17:30:00,5,26.9,60.8
19,1,24,190.0,65.0,18.01,0.96,2,1,0,1.0,1,0.0,0,2021/7/22,09:00:00,1,24.4,66.8
19,1,24,190.0,65.0,18.01,0.96,2,1,0,1.0,1,0.0,0,2021/7/22,09:30:00,1,24.9,66.8
