no,gender,age,height,weight,bmi,griffith,ta,hr,tsv
1.0,0.0,22.0,164.0,45.0,16.73,0.96,20.5,64.0,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,20.5,64.5,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,20.5,65.0,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,20.5,65.5,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,20.5,66.0,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,20.5,66.5,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,20.5,67.0,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,20.5,67.5,2.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,20.5,68.0,2.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,20.5,68.5,2.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,20.5,69.0,2.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,20.5,69.5,2.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,20.5,70.0,2.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,20.5,70.5,2.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,20.5,71.0,2.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,20.5,71.5,2.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,20.5,72.0,2.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,20.5,72.5,2.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,20.5,73.0,2.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,20.5,73.5,2.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,20.5,74.0,2.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,20.5,74.5,2.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,20.5,75.0,2.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,21.0,50.0,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,21.0,50.5,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,21.0,51.0,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,21.0,51.5,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,21.0,52.0,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,21.0,52.5,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,21.0,53.0,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,21.0,53.5,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,21.0,54.0,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,21.0,54.5,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,21.0,55.0,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,21.0,55.5,0.0
