,ta,hr,tsv
15,27.5,10.0,2
31,27.5,11.0,2
47,27.5,12.0,2
63,27.5,13.0,2
79,27.5,14.0,2
94,27.0,15.0,2
95,27.5,15.0,2
110,27.0,16.0,2
111,27.5,16.0,2
126,27.0,17.0,2
127,27.5,17.0,2
142,27.0,18.0,2
143,27.5,18.0,2
158,27.0,19.0,2
159,27.5,19.0,2
174,27.0,20.0,2
175,27.5,20.0,2
190,27.0,21.0,2
191,27.5,21.0,2
206,27.0,22.0,2
207,27.5,22.0,2
222,27.0,23.0,2
223,27.5,23.0,2
237,26.5,24.0,2
238,27.0,24.0,2
239,27.5,24.0,2
254,27.0,25.0,2
255,27.5,25.0,2
