no,gender,age,height,weight,bmi,griffith,sensitivity,preference,environment,tsv,thermal comfort,thermal preference,season,date,time,room,ta,hr
3,1,23,173.0,85.0,28.4,1.28,0,-1,0,0.0,1,3.0,1,2021/1/09,09:00:00,5,21.5,13.9
3,1,23,173.0,85.0,28.4,1.28,0,-1,0,0.0,1,3.0,1,2021/1/09,09:30:00,5,22.0,14.8
3,1,23,173.0,85.0,28.4,1.28,0,-1,0,1.0,1,2.0,1,2021/1/09,10:00:00,5,22.5,15.1
3,1,23,173.0,85.0,28.4,1.28,0,-1,0,1.0,1,2.0,1,2021/1/09,10:30:00,5,23.2,14.4
3,1,23,173.0,85.0,28.4,1.28,0,-1,0,1.0,1,2.0,1,2021/1/09,11:00:00,5,23.9,14.4
3,1,23,173.0,85.0,28.4,1.28,0,-1,0,1.0,1,2.0,1,2021/1/09,11:30:00,5,24.4,14.3
3,1,23,173.0,85.0,28.4,1.28,0,-1,0,1.0,1,2.0,1,2021/1/09,12:00:00,5,24.8,14.3
3,1,23,173.0,85.0,28.4,1.28,0,-1,0,1.0,1,2.0,1,2021/1/09,14:30:00,5,24.9,13.5
3,1,23,173.0,85.0,28.4,1.28,0,-1,0,2.0,1,1.0,1,2021/1/09,15:00:00,5,25.2,14.1
3,1,23,173.0,85.0,28.4,1.28,0,-1,0,1.0,1,2.0,1,2021/1/09,15:30:00,5,24.8,14.9
3,1,23,173.0,85.0,28.4,1.28,0,-1,0,1.0,1,2.0,1,2021/1/09,16:00:00,5,24.5,15.5
3,1,23,173.0,85.0,28.4,1.28,0,-1,0,1.0,1,2.0,1,2021/1/09,16:30:00,5,24.3,15.8
3,1,23,173.0,85.0,28.4,1.28,0,-1,0,1.0,1,2.0,1,2021/1/09,17:00:00,5,24.4,16.1
3,1,23,173.0,85.0,28.4,1.28,0,-1,0,1.0,1,2.0,1,2021/1/09,17:30:00,5,24.4,16.2
16,1,22,180.0,66.0,20.37,2.27,1,-1,1,1.0,1,2.0,1,2021/1/09,09:00:00,5,21.5,13.9
16,1,22,180.0,66.0,20.37,2.27,1,-1,1,1.0,1,2.0,1,2021/1/09,09:30:00,5,22.0,14.8
16,1,22,180.0,66.0,20.37,2.27,1,-1,1,1.0,1,2.0,1,2021/1/09,10:00:00,5,22.5,15.1
16,1,22,180.0,66.0,20.37,2.27,1,-1,1,1.0,1,1.0,1,2021/1/09,10:30:00,5,23.2,14.4
16,1,22,180.0,66.0,20.37,2.27,1,-1,1,1.0,1,2.0,1,2021/1/09,11:00:00,5,23.9,14.4
