ta,hr,season
18.0,10,1
18.2,10,1
18.4,10,1
18.599999999999998,10,1
18.799999999999997,10,1
18.999999999999996,10,1
19.199999999999996,10,1
19.399999999999995,10,1
19.599999999999994,10,1
19.799999999999994,10,1
19.999999999999993,10,1
20.199999999999992,10,1
20.39999999999999,10,1
20.59999999999999,10,1
20.79999999999999,10,1
20.99999999999999,10,1
21.19999999999999,10,1
21.399999999999988,10,1
21.599999999999987,10,1
21.799999999999986,10,1
21.999999999999986,10,1
22.199999999999985,10,1
22.399999999999984,10,1
22.599999999999984,10,1
22.799999999999983,10,1
22.999999999999982,10,1
23.19999999999998,10,1
23.39999999999998,10,1
23.59999999999998,10,1
23.79999999999998,10,1
23.99999999999998,10,1
24.199999999999978,10,1
24.399999999999977,10,1
24.599999999999977,10,1
24.799999999999976,10,1
24.999999999999975,10,1
25.199999999999974,10,1
25.399999999999974,10,1
25.599999999999973,10,1
25.799999999999972,10,1
25.99999999999997,10,1
26.19999999999997,10,1
26.39999999999997,10,1
26.59999999999997,10,1
26.79999999999997,10,1
26.999999999999968,10,1
27.199999999999967,10,1
27.399999999999967,10,1
27.599999999999966,10,1
27.799999999999965,10,1
18.0,11,1
18.2,11,1
18.4,11,1
18.599999999999998,11,1
18.799999999999997,11,1
18.999999999999996,11,1
19.199999999999996,11,1
19.399999999999995,11,1
19.599999999999994,11,1
19.799999999999994,11,1
19.999999999999993,11,1
20.199999999999992,11,1
20.39999999999999,11,1
20.59999999999999,11,1
20.79999999999999,11,1
20.99999999999999,11,1
21.19999999999999,11,1
21.399999999999988,11,1
21.599999999999987,11,1
21.799999999999986,11,1
21.999999999999986,11,1
22.199999999999985,11,1
22.399999999999984,11,1
22.599999999999984,11,1
22.799999999999983,11,1
22.999999999999982,11,1
23.19999999999998,11,1
23.39999999999998,11,1
23.59999999999998,11,1
23.79999999999998,11,1
23.99999999999998,11,1
24.199999999999978,11,1
24.399999999999977,11,1
24.599999999999977,11,1
24.799999999999976,11,1
24.999999999999975,11,1
25.199999999999974,11,1
25.399999999999974,11,1
25.599999999999973,11,1
25.799999999999972,11,1
25.99999999999997,11,1
26.19999999999997,11,1
26.39999999999997,11,1
26.59999999999997,11,1
26.79999999999997,11,1
26.999999999999968,11,1
27.199999999999967,11,1
27.399999999999967,11,1
27.599999999999966,11,1
27.799999999999965,11,1
18.0,12,1
18.2,12,1
18.4,12,1
18.599999999999998,12,1
18.799999999999997,12,1
18.999999999999996,12,1
19.199999999999996,12,1
19.399999999999995,12,1
19.599999999999994,12,1
19.799999999999994,12,1
19.999999999999993,12,1
20.199999999999992,12,1
20.39999999999999,12,1
20.59999999999999,12,1
20.79999999999999,12,1
20.99999999999999,12,1
21.19999999999999,12,1
21.399999999999988,12,1
21.599999999999987,12,1
21.799999999999986,12,1
21.999999999999986,12,1
22.199999999999985,12,1
22.399999999999984,12,1
22.599999999999984,12,1
22.799999999999983,12,1
22.999999999999982,12,1
23.19999999999998,12,1
23.39999999999998,12,1
23.59999999999998,12,1
23.79999999999998,12,1
23.99999999999998,12,1
24.199999999999978,12,1
24.399999999999977,12,1
24.599999999999977,12,1
24.799999999999976,12,1
24.999999999999975,12,1
25.199999999999974,12,1
25.399999999999974,12,1
25.599999999999973,12,1
25.799999999999972,12,1
25.99999999999997,12,1
26.19999999999997,12,1
26.39999999999997,12,1
26.59999999999997,12,1
26.79999999999997,12,1
26.999999999999968,12,1
27.199999999999967,12,1
27.399999999999967,12,1
27.599999999999966,12,1
27.799999999999965,12,1
18.0,13,1
18.2,13,1
18.4,13,1
18.599999999999998,13,1
18.799999999999997,13,1
18.999999999999996,13,1
19.199999999999996,13,1
19.399999999999995,13,1
19.599999999999994,13,1
19.799999999999994,13,1
19.999999999999993,13,1
20.199999999999992,13,1
20.39999999999999,13,1
20.59999999999999,13,1
20.79999999999999,13,1
20.99999999999999,13,1
21.19999999999999,13,1
21.399999999999988,13,1
21.599999999999987,13,1
21.799999999999986,13,1
21.999999999999986,13,1
22.199999999999985,13,1
22.399999999999984,13,1
22.599999999999984,13,1
22.799999999999983,13,1
22.999999999999982,13,1
23.19999999999998,13,1
23.39999999999998,13,1
23.59999999999998,13,1
23.79999999999998,13,1
23.99999999999998,13,1
24.199999999999978,13,1
24.399999999999977,13,1
24.599999999999977,13,1
24.799999999999976,13,1
24.999999999999975,13,1
25.199999999999974,13,1
25.399999999999974,13,1
25.599999999999973,13,1
25.799999999999972,13,1
25.99999999999997,13,1
26.19999999999997,13,1
26.39999999999997,13,1
26.59999999999997,13,1
26.79999999999997,13,1
26.999999999999968,13,1
27.199999999999967,13,1
27.399999999999967,13,1
27.599999999999966,13,1
27.799999999999965,13,1
18.0,14,1
18.2,14,1
18.4,14,1
18.599999999999998,14,1
18.799999999999997,14,1
18.999999999999996,14,1
19.199999999999996,14,1
19.399999999999995,14,1
19.599999999999994,14,1
19.799999999999994,14,1
19.999999999999993,14,1
20.199999999999992,14,1
20.39999999999999,14,1
20.59999999999999,14,1
20.79999999999999,14,1
20.99999999999999,14,1
21.19999999999999,14,1
21.399999999999988,14,1
21.599999999999987,14,1
21.799999999999986,14,1
21.999999999999986,14,1
22.199999999999985,14,1
22.399999999999984,14,1
22.599999999999984,14,1
22.799999999999983,14,1
22.999999999999982,14,1
23.19999999999998,14,1
23.39999999999998,14,1
23.59999999999998,14,1
23.79999999999998,14,1
23.99999999999998,14,1
24.199999999999978,14,1
24.399999999999977,14,1
24.599999999999977,14,1
24.799999999999976,14,1
24.999999999999975,14,1
25.199999999999974,14,1
25.399999999999974,14,1
25.599999999999973,14,1
25.799999999999972,14,1
25.99999999999997,14,1
26.19999999999997,14,1
26.39999999999997,14,1
26.59999999999997,14,1
26.79999999999997,14,1
26.999999999999968,14,1
27.199999999999967,14,1
27.399999999999967,14,1
27.599999999999966,14,1
27.799999999999965,14,1
18.0,15,1
18.2,15,1
18.4,15,1
18.599999999999998,15,1
18.799999999999997,15,1
18.999999999999996,15,1
19.199999999999996,15,1
19.399999999999995,15,1
19.599999999999994,15,1
19.799999999999994,15,1
19.999999999999993,15,1
20.199999999999992,15,1
20.39999999999999,15,1
20.59999999999999,15,1
20.79999999999999,15,1
20.99999999999999,15,1
21.19999999999999,15,1
21.399999999999988,15,1
21.599999999999987,15,1
21.799999999999986,15,1
21.999999999999986,15,1
22.199999999999985,15,1
22.399999999999984,15,1
22.599999999999984,15,1
22.799999999999983,15,1
22.999999999999982,15,1
23.19999999999998,15,1
23.39999999999998,15,1
23.59999999999998,15,1
23.79999999999998,15,1
23.99999999999998,15,1
24.199999999999978,15,1
24.399999999999977,15,1
24.599999999999977,15,1
24.799999999999976,15,1
24.999999999999975,15,1
25.199999999999974,15,1
25.399999999999974,15,1
25.599999999999973,15,1
25.799999999999972,15,1
25.99999999999997,15,1
26.19999999999997,15,1
26.39999999999997,15,1
26.59999999999997,15,1
26.79999999999997,15,1
26.999999999999968,15,1
27.199999999999967,15,1
27.399999999999967,15,1
27.599999999999966,15,1
27.799999999999965,15,1
